titre,prix,ville,surface,chambres,salle_de_bain,lien,prix_log,prix_par_m2
Appartement haut standing 3 ch Maarif extension,1980000.0,Appartements dans Casablanca,132.0,3.0,2.0,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_haut_standing_3_ch_Maarif_extension_57286382.htm,14.498607907721096,15000.0
Bel appartement à vendre au lotissement ikhlas,275000.0,Appartements dans Tanger,47.0,2.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/Bel_appartement_%C3%A0_vendre_au_lotissement_ikhlas_57807318.htm,12.524530013005734,5851.063829787234
Appartement à vendre 90 m² à Mohammedia,1500000.0,Appartements dans Mohammedia,103.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_Mohammedia_57723571.htm,14.220976332738882,14563.106796116504
Vente Appartement 3 pièces de 85 m2 à Casablanca,1350000.0,Appartements dans Casablanca,85.0,2.0,2.0,https://www.avito.ma/fr/roches_noires/appartements/Vente_Appartement_3_pi%C3%A8ces_de_85_m2_%C3%A0_Casablanca_57745577.htm,14.115615891155079,15882.35294117647
Appartement à vendre 58 m² à Casablanca,330000.0,Appartements dans Casablanca,58.0,2.0,1.0,https://www.avito.ma/fr/tantonville/appartements/Appartement_%C3%A0_vendre_58_m%C2%B2_%C3%A0_Casablanca_57841109.htm,12.706850963741102,5689.6551724137935
Appartements neufs à vendre Dar bouazza,627000.0,Appartements dans Dar Bouazza,78.0,2.0,2.0,https://www.avito.ma/fr/dar_bouazza/appartements/Appartements_neufs_%C3%A0_vendre_Dar_bouazza_56658849.htm,13.348703414510117,8038.461538461538
À VENDRE – Superbe appartement 77 m²,1350000.0,Appartements dans Casablanca,77.0,2.0,2.0,https://www.avito.ma/fr/les_princesses/appartements/%C3%80_VENDRE___Superbe_appartement_77_m%C2%B2_57569424.htm,14.115615891155079,17532.467532467534
APPART 91m 2FACES vue piscine à MARBELLA BEACH,1030000.0,Appartements dans Mohammedia,91.0,2.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/APPART_91m_2FACES_vue_piscine_%C3%A0_MARBELLA_BEACH_57747136.htm,13.845070331079134,11318.681318681318
Appartement à vendre à Had Soualem,570000.0,Appartements dans Had Soualem,74.0,2.0,2.0,https://www.avito.ma/fr/had_soualem/appartements/Appartement_%C3%A0_vendre_%C3%A0_Had_Soualem_57647935.htm,13.25339339419516,7702.7027027027025
Appartement à Atlas golf Resort à Marrakech,2100000.0,Appartements dans Marrakech,140.0,2.0,2.0,https://www.avito.ma/fr/annakhil/appartements/Appartement_%C3%A0_Atlas_golf_Resort_%C3%A0_Marrakech_57615030.htm,14.557448378884015,15000.0
Studio à vendre 47 m² à Casablanca,1010500.0,Appartements dans Casablanca,47.0,1.0,1.0,https://www.avito.ma/fr/ferme_bretone/appartements/Studio_%C3%A0_vendre_47_m%C2%B2_%C3%A0_Casablanca_57644839.htm,13.825956805434428,21500.0
Vente Appartement 4 pièces de 98 m2 à Casablanca,1620000.0,Appartements dans Casablanca,98.0,2.0,1.0,https://www.avito.ma/fr/californie/appartements/Vente_Appartement_4_pi%C3%A8ces_de_98_m2_%C3%A0_Casablanca_57503366.htm,14.297937324492327,16530.61224489796
Vente Appartement 5 pièces de 206 m2 à Casablanca,3300000.0,Appartements dans Casablanca,206.0,4.0,2.0,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Vente_Appartement_5_pi%C3%A8ces_de_206_m2_%C3%A0_Casablanca_57655721.htm,15.009433329466965,16019.417475728156
Appartement à vendre 150 m² à Casablanca,3400000.0,Appartements dans Casablanca,163.0,3.0,2.0,https://www.avito.ma/fr/oasis/appartements/Appartement_%C3%A0_vendre_150_m%C2%B2_%C3%A0_Casablanca_57723071.htm,15.039286283703994,20858.895705521474
Appartement à vendre 64 m² à Casablanca,1380000.0,Appartements dans Casablanca,64.0,2.0,2.0,https://www.avito.ma/fr/ferme_bretone/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Casablanca_57644859.htm,14.137594781770806,21562.5
Bel appartement à vendre,890000.0,Appartements dans Mohammedia,75.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Bel_appartement_%C3%A0_vendre_57841076.htm,13.698977865303197,11866.666666666666
Appartement Duplex à vendre 154 m² à Casablanca,1000000.0,Appartements dans Casablanca,174.0,4.0,2.0,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_Duplex_%C3%A0_vendre_154_m%C2%B2_%C3%A0_Casablanca_54390927.htm,13.815511557963774,5747.126436781609
"Appartement 61 m², ascenseur, balcon, aide de l'état, Tanger Balia",915000.0,Appartements dans Tanger,61.0,2.0,1.0,https://www.avito.ma/fr/malabata/appartements/Appartement_61_m%C2%B2__ascenseur__balcon__aide_de_l_%C3%A9tat__Tanger_Balia_57841066.htm,13.726680437153236,15000.0
Appartement à vendre 140 m² à la marina casablanca,3900000.0,Appartements dans Marrakech,155.0,2.0,3.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_140_m%C2%B2_%C3%A0_la_marina_casablanca_56472046.htm,15.176487367510099,25161.290322580644
Appartement RDC 91 m2 à Hay Mohammadi,780000.0,Appartements dans Casablanca,91.0,4.0,2.0,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_RDC_91_m2_%C3%A0_Hay_Mohammadi_57684858.htm,13.567050480716235,8571.42857142857
Appartement à vendre 124m² Roche Noire Casablanca,1050000.0,Appartements dans Casablanca,124.0,2.0,2.0,https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_vendre_124m%C2%B2_Roche_Noire_Casablanca_54971172.htm,13.864301674514206,8467.741935483871
Appartement à vendre 39 m² à Marrakech,698500.0,Appartements dans Marrakech,44.0,1.0,1.0,https://www.avito.ma/fr/route_d_amezmiz/appartements/Appartement_%C3%A0_vendre_39_m%C2%B2_%C3%A0_Marrakech_57611206.htm,13.456691889317355,15875.0
Appartement 3 chambres 106 m² garage ascenseur balcon Tanger Balia,1378000.0,Appartements dans Tanger,106.0,3.0,2.0,https://www.avito.ma/fr/malabata/appartements/Appartement_3_chambres_106_m%C2%B2_garage_ascenseur_balcon_Tanger_Balia_57841044.htm,14.136144456244882,13000.0
Vente Appartement 2 pièces de 47 m2 à Casablanca,1150000.0,Appartements dans Casablanca,47.0,1.0,1.0,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Vente_Appartement_2_pi%C3%A8ces_de_47_m2_%C3%A0_Casablanca_56589055.htm,13.955273369904273,24468.08510638298
VENTE D’UN BEL APPARTEMENT DE 117M2,1900000.0,Appartements dans Casablanca,117.0,3.0,2.0,https://www.avito.ma/fr/les_princesses/appartements/VENTE_D_UN_BEL_APPARTEMENT_DE_117M2_56886880.htm,14.45736497045232,16239.31623931624
Vente Appartement 3 pièces de 107 m2 à Casablanca,1500000.0,Appartements dans Casablanca,107.0,2.0,2.0,https://www.avito.ma/fr/riviera/appartements/Vente_Appartement_3_pi%C3%A8ces_de_107_m2_%C3%A0_Casablanca_57702915.htm,14.220976332738882,14018.691588785046
Appartement 1er chouka à vendre 50m² ERRAHMA Casa,350000.0,Appartements dans Casablanca,50.0,2.0,1.0,https://www.avito.ma/fr/errahma/appartements/Appartement_1er_chouka_%C3%A0_vendre_50m%C2%B2_ERRAHMA_Casa_56040509.htm,12.765691290604371,7000.0
🏠Appartement duplex 174m2 à vendre HM Casa🏠,1000000.0,Appartements dans Casablanca,174.0,5.0,2.0,https://www.avito.ma/fr/hay_mohammadi/appartements/__Appartement_duplex_174m2_%C3%A0_vendre_HM_Casa___57631189.htm,13.815511557963774,5747.126436781609
Appartement à vendre 120m² H Mohammadi Casablanca,850000.0,Appartements dans Casablanca,120.0,2.0,1.0,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_120m%C2%B2_H_Mohammadi_Casablanca_57309014.htm,13.652992804936396,7083.333333333333
"Appartement 150 m², 3 chambres, ascenseur, syndic, sur le boulevard",1950000.0,Appartements dans Tanger,150.0,3.0,2.0,https://www.avito.ma/fr/centre_ville/appartements/Appartement_150_m%C2%B2__3_chambres__ascenseur__syndic__sur_le_boulevard_57841029.htm,14.48334044336031,13000.0
Appartement à vendre 150 m² à Dar Bouazza,1980000.0,Appartements dans Dar Bouazza,150.0,3.0,2.0,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_150_m%C2%B2_%C3%A0_Dar_Bouazza_57729234.htm,14.498607907721096,13200.0
Très jolie appartement 88 mètres à Sala al Jadida,1200000.0,Appartements dans Salé,88.0,3.0,2.0,https://www.avito.ma/fr/sala_el_jadida/appartements/Tr%C3%A8s_jolie_appartement_88_m%C3%A8tres_%C3%A0_Sala_al_Jadida_57416683.htm,13.997832948091215,13636.363636363636
"Appartement 74 m², ascenseur, syndic, déclaration totale",555000.0,Appartements dans Tanger,74.0,2.0,1.0,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_74_m%C2%B2__ascenseur__syndic__d%C3%A9claration_totale_57840993.htm,13.22672519452875,7500.0
"Appartement 56 m², ascenseur, syndic, 5 minutes de Malabata",550000.0,Appartements dans Tanger,56.0,2.0,1.0,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_56_m%C2%B2__ascenseur__syndic__5_minutes_de_Malabata_57840996.htm,13.217675375388819,9821.42857142857
Super Appartement neuf à vendre H M Casa,920000.0,Appartements dans Casablanca,92.0,2.0,2.0,https://www.avito.ma/fr/hay_mohammadi/appartements/Super_Appartement_neuf_%C3%A0_vendre_H_M_Casa_56729735.htm,13.732130035981154,10000.0
"Appartement 80 m², 3 chambres, ascenseur, syndic, 5 minutes de Malabata",750000.0,Appartements dans Tanger,80.0,3.0,1.0,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_80_m%C2%B2__3_chambres__ascenseur__syndic__5_minutes_de_Malabata_57840986.htm,13.527829818844937,9375.0
Charmant appartement à vendre - Résidence OUBAHA,1150000.0,Appartements dans El Mansouria,100.0,3.0,2.0,https://www.avito.ma/fr/el_mansouria/appartements/Charmant_appartement_%C3%A0_vendre___R%C3%A9sidence_OUBAHA_57256920.htm,13.955273369904273,11500.0
Appartement à vendre 188 m² à Victoria,1780000.0,Appartements dans Bouskoura,188.0,3.0,3.0,https://www.avito.ma/fr/victoria/appartements/Appartement_%C3%A0_vendre_188_m%C2%B2_%C3%A0_Victoria_57706487.htm,14.392124484065864,9468.08510638298
Appartement à vendre 110 m² à Bouznika,1670000.0,Appartements dans Bouznika,118.0,3.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_110_m%C2%B2_%C3%A0_Bouznika_57256859.htm,14.328334783195153,14152.542372881357
🔥 Appt Racine 3 chambres 170 m²,3500000.0,Appartements dans Casablanca,170.0,3.0,2.0,https://www.avito.ma/fr/racine/appartements/___Appt_Racine_3_chambres_170_m%C2%B2_57754801.htm,15.068273812173887,20588.235294117647
Appartement 85m² à Sidi Bernoussi Casa.,740000.0,Appartements dans Casablanca,85.0,3.0,2.0,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_85m%C2%B2_%C3%A0_Sidi_Bernoussi_Casa__53160051.htm,13.51440681653079,8705.882352941177
Appartement à vendre 119 m² sur 2mars,1606500.0,Appartements dans Casablanca,119.0,3.0,1.0,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_119_m%C2%B2_sur_2mars_57556591.htm,14.289569080009068,13500.0
Appartement à vendre 149 m² à Agdal Rabat,3500000.0,Appartements dans Rabat,149.0,3.0,3.0,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_149_m%C2%B2_%C3%A0_Agdal_Rabat_57707656.htm,15.068273812173887,23489.93288590604
Appartement 74 m² à ALMAZ,830000.0,Appartements dans Casablanca,74.0,2.0,1.0,https://www.avito.ma/fr/almaz/appartements/Appartement_74_m%C2%B2_%C3%A0_ALMAZ_57443082.htm,13.629182184591333,11216.216216216217
Appartement Rez de jardin à vendre palmeraie,2500000.0,Appartements dans Marrakech,188.0,2.0,2.0,https://www.avito.ma/fr/palmeraie/appartements/Appartement_Rez_de_jardin_%C3%A0_vendre_palmeraie_57250824.htm,14.731801689838349,13297.872340425532
2 Appartements moyen standing à vendre – Benguerir,520000.0,Appartements dans Ben Guerir,92.0,2.0,2.0,https://www.avito.ma/fr/ben_guerir/appartements/2_Appartements_moyen_standing_%C3%A0_vendre___Benguerir_56548870.htm,13.161586013632684,5652.173913043478
Duplex à vendre quartier Targa,1200000.0,Appartements dans Marrakech,96.0,2.0,3.0,https://www.avito.ma/fr/hay_targa/appartements/Duplex_%C3%A0_vendre_quartier_Targa_56282756.htm,13.997832948091215,12500.0
Studio à vendre quartier Semlalia Guéliz,820000.0,Appartements dans Marrakech,45.0,1.0,1.0,https://www.avito.ma/fr/semlalia/appartements/Studio_%C3%A0_vendre_quartier_Semlalia_Gu%C3%A9liz_56100540.htm,13.617060838751888,18222.222222222223
Appartement Haut Standing – Val Fleuri,1900000.0,Appartements dans Casablanca,132.0,3.0,2.0,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_Haut_Standing___Val_Fleuri_50076119.htm,14.45736497045232,14393.939393939394
Appartement à vendre meublé,2450000.0,Appartements dans Marrakech,125.0,2.0,2.0,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_meubl%C3%A9_57737794.htm,14.711598990684092,19600.0
"Appartement meublé 76 m², ascenseur, syndic, 3 minutes de la gare",798000.0,Appartements dans Tanger,76.0,2.0,1.0,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_meubl%C3%A9_76_m%C2%B2__ascenseur__syndic__3_minutes_de_la_gare_57840933.htm,13.589865129563993,10500.0
"Appartement 102 m², 4 pièces, ascenseur, syndic, sur rue",1070000.0,Appartements dans Tanger,102.0,4.0,2.0,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_102_m%C2%B2__4_pi%C3%A8ces__ascenseur__syndic__sur_rue_57840938.htm,13.883170141017091,10490.196078431372
Appartement à vendre 90 m² à Kénitra,630000.0,Appartements dans Kénitra,90.0,2.0,2.0,https://www.avito.ma/fr/alliance/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_K%C3%A9nitra_57202720.htm,13.353476685668044,7000.0
Appartement à Vendre Quartier Charaf 93 m²,850000.0,Appartements dans Marrakech,93.0,2.0,1.0,https://www.avito.ma/fr/hay_charaf/appartements/Appartement_%C3%A0_Vendre_Quartier_Charaf_93_m%C2%B2_57806972.htm,13.652992804936396,9139.78494623656
"Appartement terrasse 196 m², ascenseur, syndic, déclaration totale",1020000.0,Appartements dans Tanger,196.0,2.0,1.0,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_terrasse_196_m%C2%B2__ascenseur__syndic__d%C3%A9claration_totale_57840911.htm,13.83531416565213,5204.081632653061
Élégant Appartement 3 Chambres Avec Terrasse,4100000.0,Appartements dans Marrakech,117.0,3.0,2.0,https://www.avito.ma/fr/harti/appartements/%C3%89l%C3%A9gant_Appartement_3_Chambres_Avec_Terrasse_57680934.htm,15.226497775576945,35042.73504273504
Appartement 85m² vue piscine – plage à pied,1150000.0,Appartements dans Sidi Rahal,85.0,2.0,2.0,https://www.avito.ma/fr/sidi_rahal/appartements/Appartement_85m%C2%B2_vue_piscine___plage_%C3%A0_pied_57756193.htm,13.955273369904273,13529.411764705883
Appartement 60 m² Mdiq Tétouan à vendre,860000.0,Appartements dans Mdiq,60.0,1.0,1.0,https://www.avito.ma/fr/mdiq/appartements/Appartement_60_m%C2%B2_Mdiq_T%C3%A9touan_%C3%A0_vendre_57742869.htm,13.664688831019712,14333.333333333334
Appartement à vendre 60 m² à Marrakech,600000.0,Appartements dans Marrakech,62.0,1.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_%C3%A0_Marrakech_57776648.htm,13.304686600863562,9677.41935483871
Appartement ensoleillé dans un endroit magnifique près du golf,600000.0,Appartements dans Benslimane,98.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_ensoleill%C3%A9_dans_un_endroit_magnifique_pr%C3%A8s_du_golf_57732570.htm,13.304686600863562,6122.448979591837
Vente Appartement 4 pièces de 135 m2 à Casablanca,2700000.0,Appartements dans Casablanca,135.0,3.0,3.0,https://www.avito.ma/fr/racine/appartements/Vente_Appartement_4_pi%C3%A8ces_de_135_m2_%C3%A0_Casablanca_57786015.htm,14.80876270134486,20000.0
Appartement 112 m² – 8e étage – Riad Tétouan,1400000.0,Appartements dans Tanger,112.0,2.0,1.0,https://www.avito.ma/fr/centre_ville/appartements/Appartement_112_m%C2%B2___8e_%C3%A9tage___Riad_T%C3%A9touan_57725391.htm,14.151983508870947,12500.0
Appartement à vendre 81 m² à Casablanca,650000.0,Appartements dans Casablanca,81.0,2.0,2.0,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_81_m%C2%B2_%C3%A0_Casablanca_55224497.htm,13.384729180332174,8024.691358024691
Studio à vendre,620000.0,Appartements dans Casablanca,51.0,1.0,1.0,https://www.avito.ma/fr/al_fida/appartements/Studio_%C3%A0_vendre_57840895.htm,13.3374763699232,12156.862745098038
Appartement meublé à vendre Mojamae,1000000.0,Appartements dans Tanger,86.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_meubl%C3%A9_%C3%A0_vendre_Mojamae_57840883.htm,13.815511557963774,11627.906976744185
Studio à vendre 42 m² à ain sebaa,504000.0,Appartements dans Casablanca,42.0,1.0,1.0,https://www.avito.ma/fr/ain_sebaa/appartements/Studio_%C3%A0_vendre_42_m%C2%B2_%C3%A0_ain_sebaa_57348056.htm,13.130333531178522,12000.0
Studio à vendre avec piscine,580000.0,Appartements dans Marrakech,48.0,1.0,1.0,https://www.avito.ma/fr/palmeraie/appartements/Studio_%C3%A0_vendre_avec_piscine_57468855.htm,13.270785106659046,12083.333333333334
Appartement sur Boulevard Mohamed 6,490000.0,Appartements dans Meknès,90.0,2.0,1.0,https://www.avito.ma/fr/marjane_2/appartements/Appartement_sur_Boulevard_Mohamed_6_57142243.htm,13.102162710901053,5444.444444444444
Appartement 76m Haut Standing Maarif Ex,1100000.0,Appartements dans Casablanca,76.0,2.0,2.0,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_76m_Haut_Standing_Maarif_Ex_57755690.htm,13.910821646859095,14473.684210526315
"Appartement terrasse 118 m², ascenseur, syndic, caméras de surveillance",800000.0,Appartements dans Tanger,118.0,2.0,1.0,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_terrasse_118_m%C2%B2__ascenseur__syndic__cam%C3%A9ras_de_surveillance_57840851.htm,13.592368256649284,6779.661016949152
Vente Appartement 5 pièces de 158 m2 à Casablanca,1400000.0,Appartements dans Casablanca,158.0,3.0,2.0,https://www.avito.ma/fr/sidi_moumen/appartements/Vente_Appartement_5_pi%C3%A8ces_de_158_m2_%C3%A0_Casablanca_57838838.htm,14.151983508870947,8860.759493670887
Appartement 72m à Socrate Maarif Ex,1300000.0,Appartements dans Casablanca,72.0,2.0,2.0,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_72m_%C3%A0_Socrate_Maarif_Ex_57764822.htm,14.077875591662238,18055.555555555555
Appartement 94 m² lotissement alliance mehdia,700000.0,Appartements dans Kénitra,94.0,3.0,1.0,https://www.avito.ma/fr/alliance/appartements/Appartement_94_m%C2%B2_lotissement_alliance_mehdia_57754937.htm,13.45883704259595,7446.808510638298
Vente Appartement 2 pièces de 80 m2 à Marrakech,670000.0,Appartements dans Marrakech,80.0,2.0,2.0,https://www.avito.ma/fr/azzouzia/appartements/Vente_Appartement_2_pi%C3%A8ces_de_80_m2_%C3%A0_Marrakech_57820344.htm,13.415034483903348,8375.0
Appartement à vendre – Beauséjour,1600000.0,Appartements dans Casablanca,164.0,2.0,2.0,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/Appartement_%C3%A0_vendre___Beaus%C3%A9jour_57798754.htm,14.285514812209815,9756.09756097561
Appartement à vendre à Tanger- centre,1860000.0,Appartements dans Tanger,113.0,3.0,2.0,https://www.avito.ma/fr/centre/appartements/Appartement_%C3%A0_vendre_%C3%A0_Tanger__centre_57290076.htm,14.436087583323648,16460.17699115044
Vente Appartement 3 pièces de 70 m2 à Marrakech,900000.0,Appartements dans Marrakech,70.0,2.0,1.0,https://www.avito.ma/fr/allal_el_fassi/appartements/Vente_Appartement_3_pi%C3%A8ces_de_70_m2_%C3%A0_Marrakech_57765065.htm,13.710151153416941,12857.142857142857
Résidence Premium à Kénitra,1180000.0,Appartements dans Kénitra,108.0,3.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/R%C3%A9sidence_Premium_%C3%A0_K%C3%A9nitra_52157216.htm,13.981025843899115,10925.925925925925
Appartement Agadir Bay,2500000.0,Appartements dans Agadir,131.0,3.0,3.0,https://www.avito.ma/fr/founty/appartements/Appartement_Agadir_Bay_57840836.htm,14.731801689838349,19083.969465648854
Appartement à vendre 53 m² à Agadir,750000.0,Appartements dans Agadir,53.0,2.0,1.0,https://www.avito.ma/fr/hay_salam/appartements/Appartement_%C3%A0_vendre_53_m%C2%B2_%C3%A0_Agadir_57840818.htm,13.527829818844937,14150.943396226416
Appartement à vendre 87 m² à Oued Laou,750000.0,Appartements dans Oued Laou,87.0,2.0,1.0,https://www.avito.ma/fr/oued_laou/appartements/Appartement_%C3%A0_vendre_87_m%C2%B2_%C3%A0_Oued_Laou_57675028.htm,13.527829818844937,8620.689655172413
Vente Urgente Appartement Économique AinChock Lamkansa4,430000.0,Appartements dans Lamkansa,60.0,2.0,2.0,https://www.avito.ma/fr/lamkansa/appartements/Vente_Urgente_Appartement_%C3%89conomique_AinChock_Lamkansa4_57814995.htm,12.971542813248437,7166.666666666667
Appartement trois étages et garage titré à vendre,3500000.0,Appartements dans Tanger,120.0,6.0,6.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_trois_%C3%A9tages_et_garage_titr%C3%A9_%C3%A0_vendre_57840817.htm,15.068273812173887,29166.666666666668
App kech 95 m² 1er étage 1 balcon,800000.0,Appartements dans Marrakech,95.0,3.0,1.0,https://www.avito.ma/fr/m_hamid/appartements/App__kech__95_m%C2%B2__1er_%C3%A9tage__1_balcon_56264521.htm,13.592368256649284,8421.052631578947
Vente Appartement 4 pièces de 150 m2 à Casablanca,2600000.0,Appartements dans Casablanca,150.0,2.0,2.0,https://www.avito.ma/fr/triangle_d_or/appartements/Vente_Appartement_4_pi%C3%A8ces_de_150_m2_%C3%A0_Casablanca_57443080.htm,14.77102238760702,17333.333333333332
Appartement à vendre 89m² à H M Casablanca,850000.0,Appartements dans Casablanca,89.0,2.0,2.0,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_89m%C2%B2_%C3%A0_H_M_Casablanca_55797652.htm,13.652992804936396,9550.561797752809
Vente Appartement 4 pièces de 84 m2 à Casablanca,1516000.0,Appartements dans Casablanca,84.0,3.0,2.0,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Vente_Appartement_4_pi%C3%A8ces_de_84_m2_%C3%A0_Casablanca_57802768.htm,14.231586504814842,18047.619047619046
Appartement 133m² ensoleillé au RDC à Val fleuri,1490000.0,Appartements dans Casablanca,133.0,3.0,2.0,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_133m%C2%B2_ensoleill%C3%A9_au_RDC_%C3%A0_Val_fleuri_53623611.htm,14.214287349062356,11203.007518796992
Vente Appartement de 125 m2 à Casablanca,2150000.0,Appartements dans Casablanca,125.0,3.0,2.0,https://www.avito.ma/fr/palmier/appartements/Vente_Appartement_de_125_m2_%C3%A0_Casablanca_57689352.htm,14.580978865220017,17200.0
Appartement à vendre 80 m² à Kénitra,900000.0,Appartements dans Kénitra,85.0,2.0,2.0,https://www.avito.ma/fr/val_fleury/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_K%C3%A9nitra_56333920.htm,13.710151153416941,10588.235294117647
Appartement à vendre Meublé,850000.0,Appartements dans Agadir,56.0,2.0,1.0,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_Meubl%C3%A9_57774038.htm,13.652992804936396,15178.57142857143
Appartement de luxe meublé 193 m² à Meknès,1800000.0,Appartements dans Meknès,193.0,4.0,3.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_de_luxe_meubl%C3%A9_193_m%C2%B2_%C3%A0_Mekn%C3%A8s_57691101.htm,14.403297778421795,9326.42487046632
Appartement 126m à Maarif Extension Socrate,1550000.0,Appartements dans Casablanca,126.0,3.0,2.0,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_126m_%C3%A0_Maarif_Extension_Socrate_57090002.htm,14.253766134056512,12301.587301587302
APPARTEMENT MODERNE À VAL FLEURY,1300000.0,Appartements dans Kénitra,136.0,3.0,1.0,https://www.avito.ma/fr/val_fleury/appartements/APPARTEMENT_MODERNE_%C3%80_VAL_FLEURY_57701340.htm,14.077875591662238,9558.823529411764
À vendre Appartement à complexe Hanae centre ville,1700000.0,Appartements dans Tanger,67.0,2.0,1.0,https://www.avito.ma/fr/malabata/appartements/%C3%80_vendre_Appartement_%C3%A0_complexe_Hanae_centre_ville_57840786.htm,14.346139397261565,25373.13432835821
Dahomey appartement haute qualité,640000.0,Appartements dans Bouznika,74.0,2.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/Dahomey_appartement_haute_qualit%C3%A9_57626856.htm,13.369225017834633,8648.648648648648
Appartement rénové à vendre,450000.0,Appartements dans Tanger,56.0,2.0,1.0,https://www.avito.ma/fr/achakar/appartements/Appartement_r%C3%A9nov%C3%A9_%C3%A0_vendre_57840778.htm,13.017005083966255,8035.714285714285
Vente Appartement 3 pièces de 81 m2 à Tamaris,780000.0,Appartements dans Tamaris,81.0,2.0,1.0,https://www.avito.ma/fr/tamaris/appartements/Vente_Appartement_3_pi%C3%A8ces_de_81_m2_%C3%A0_Tamaris_57768428.htm,13.567050480716235,9629.62962962963
appartement rdc à sidi maarof,1000000.0,Appartements dans Casablanca,101.0,2.0,2.0,https://www.avito.ma/fr/sidi_maarouf/appartements/appartement_rdc_%C3%A0_sidi_maarof_57840774.htm,13.815511557963774,9900.990099009901
Appartement 67m À Maarif Extension,950000.0,Appartements dans Casablanca,67.0,2.0,1.0,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_67m_%C3%80_Maarif_Extension_57830364.htm,13.76421831620775,14179.10447761194
Vente Appartement 3 pièces de 75 m2 à Marrakech,660000.0,Appartements dans Marrakech,75.0,2.0,1.0,https://www.avito.ma/fr/ain_mezouar/appartements/Vente_Appartement_3_pi%C3%A8ces_de_75_m2_%C3%A0_Marrakech_54987954.htm,13.399996629152975,8800.0
Vente Appartement 4 pièces de 169 m2 à Marrakech,2800000.0,Appartements dans Marrakech,169.0,3.0,2.0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Vente_Appartement_4_pi%C3%A8ces_de_169_m2_%C3%A0_Marrakech_57656717.htm,14.845130332288226,16568.047337278105
Appartements de 52 m² à 70 m² route de Rabat,450000.0,Appartements dans Tanger,52.0,2.0,2.0,https://www.avito.ma/fr/hay_hassani/appartements/Appartements_de_52_m%C2%B2_%C3%A0_70_m%C2%B2_route_de_Rabat_57142111.htm,13.017005083966255,8653.846153846154
Nouvel appartement Tanger Balia,620000.0,Appartements dans Tanger,55.0,2.0,1.0,https://www.avito.ma/fr/tanja_balia/appartements/Nouvel_appartement_Tanger_Balia_55334640.htm,13.3374763699232,11272.727272727272
